Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.ig.json	4233	-	0	0	0	0	0	0	9	88	0	0	0	0	0	0	0	0	0	0	68	78	0	0	0	3	1	0
fsh-generated/resources/Location-ExampleSMARTLocation-PrimaryClinic.json	898	6	0	0	0	0	0	0	0	475	0	0	0	0	0	0	0	1	0	0	23	42	0	0	0	0	0	0
fsh-generated/resources/Practitioner-fd3c7a99-bb59-4fef-9f79-88d1f7275ca6.json	923	5	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	19	44	0	0	0	0	0	1
fsh-generated/resources/Slot-slot-123.json	530	4	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	19	38	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-booking-deep-link.json	1387	5	0	15	1	0	0	0	0	67	0	0	1	0	0	0	0	0	0	0	36	670	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-booking-phone.json	1293	9	0	28	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	34	212	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-smart-location.json	2650	7	0	96	0	0	0	0	0	49	0	0	0	0	0	0	0	1	0	0	106	603	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-smart-practitioner.json	4719	8	0	87	0	0	0	0	0	51	0	0	0	0	0	0	0	1	0	0	134	567	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-smart-practitionerRole.json	2320	5	0	65	1	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	70	233	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-smart-schedule.json	1085	5	0	52	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	55	160	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-smart-slot.json	1600	4	0	48	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	47	211	0	0	0	4	0	0
/fsh-generated/includes/fsh-link-references.md	630	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1043	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/index.md	315	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	5832	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
